variable,categorías,mín. frecuencia esperada,% celdas con esperada < 5,chi²,gl,p,V de Cramér,p (Holm),supuesto chi² cumplido,significativa (Holm)
discharge_disposition_id,8,108.07946094900154,0.0,906.1699160408673,7,2.2334355849081763e-191,0.10636868530201328,6.030276079252076e-190,Sí,Sí
insulin,4,999.9343173153146,0.0,161.00230120718442,3,1.1138414088900417e-34,0.04458867663536595,2.8959876631141083e-33,Sí,Sí
especialidad,11,101.81563549884866,0.0,138.9877173569757,10,6.794048675220569e-25,0.04028718246545796,1.6985121688051423e-23,Sí,Sí
diag_3_grupo,10,129.604242950436,0.0,109.73624018720822,9,1.6639009424921063e-19,0.03560291466526488,3.9933622619810555e-18,Sí,Sí
diag_1_grupo,9,286.99709335245933,0.0,68.09702610941815,8,1.1745071737263987e-11,0.02749913643576762,2.5839157821980773e-10,Sí,Sí
diabetesMed,2,2060.684685364841,0.0,58.075410320577014,1,2.5225987309847527e-14,0.026798926772817352,5.801977081264931e-13,Sí,Sí
metformin,4,52.73002151674154,0.0,47.91864784770338,3,2.2160792701189136e-10,0.023774209394516056,4.653766467249718e-09,Sí,Sí
admission_source_id,7,99.53788078970216,0.0,46.09922970384104,6,2.8288892337051e-08,0.02246262644755629,5.6577784674102e-07,Sí,Sí
diag_2_grupo,9,163.0872371748896,0.0,46.45992834246319,8,1.9432833237161673e-07,0.02199867864994541,3.497909982689101e-06,Sí,Sí
admission_type_id,6,30.294137631648486,0.0,32.95751376379452,5,3.837248256027151e-06,0.01875606433471106,6.139597209643441e-05,Sí,Sí
change,2,4203.59631572987,0.0,27.425322992645732,1,1.6327910612382264e-07,0.018234882847402566,3.1023030163526303e-06,Sí,Sí
A1Cresult,4,344.05484881657924,0.0,28.154948653728283,3,3.369957968583028e-06,0.017791162254215807,5.7289285465911475e-05,Sí,Sí
race,6,58.538296025065115,0.0,21.373510419434297,5,0.0006884412219182209,0.014353671231726577,0.009638177106855092,Sí,Sí
max_glu_serum,4,104.54894114982447,0.0,18.86992708383331,3,0.00029086202719339534,0.01413122716364772,0.00436293040790093,Sí,Sí
glimepiride,3,45.896757389302024,0.0,13.83739531436405,2,0.0009891172718510572,0.012204515483410042,0.012858524534063743,Sí,Sí
pioglitazone,3,32.23022913442301,0.0,8.997488988232625,2,0.011122952707951269,0.009383465457328684,0.1334754324954152,Sí,No
repaglinide,3,14.235966932165642,0.0,6.170011752217157,2,0.045729765186363264,0.007243696699276824,0.5030274170499959,Sí,No
glipizide,3,120.60711184930732,0.0,4.807249370231959,2,0.09038972449674704,0.005943352357302794,0.9038972449674704,Sí,No
rosiglitazone,3,23.5747612396663,0.0,3.1662598616693765,2,0.20533141825617598,0.003830768499023002,1.0,Sí,No
acarbose,2,28.813597070703256,0.0,1.1093683736368751,1,0.29221929129318025,0.0011730426996199974,1.0,Sí,No
glyburide,3,124.47929485485636,0.0,2.005883990060787,2,0.3667987321834594,0.0002715177045240953,1.0,Sí,No
chlorpropamide,2,8.19991695292741,0.0,1.004144572971874,1,0.31630971646605144,0.00022801979747425036,1.0,Sí,No
gender,2,4162.596730965233,0.0,0.5171280038592674,1,0.47206937162890894,0.0,1.0,Sí,No
glyburide-metformin,2,61.61326488241289,0.0,0.08235906397911562,1,0.7741255748954359,0.0,1.0,Sí,No
miglitol,2,3.9860707410063796,25.0,0.0,1,1.0,0.0,1.0,No,No
nateglinide,2,63.09380544335812,0.0,0.0,1,1.0,0.0,1.0,Sí,No
tolazamide,2,3.8721830055490543,25.0,0.04038818101705202,1,0.8407235102781581,0.0,1.0,No,No
