variable,mediana (no readm.),mediana (readm.),media (no readm.),media (readm.),p (Mann-Whitney),r biserial,delta de Cliff,magnitud del efecto,p (Holm),significativa (Holm)
number_inpatient,0.0,0.0,0.5546704154951577,1.2282620704894487,0.0,0.16824774704835088,0.21443133952239646,Pequeño,0.0,Sí
hospitalizacion_previa,0.0,0.0,0.31126636562437876,0.495856811402055,7.997205649000758e-270,0.12449153978876598,0.18459044577767636,Pequeño,7.997205649000758e-269,Sí
time_in_hospital,4.0,4.0,4.332026923404618,4.764777372666003,4.479901687922928e-49,0.04632635127860413,0.0941038014114075,Insignificante,3.5839213503383423e-48,Sí
number_diagnoses,8.0,9.0,7.360327738490812,7.672743343276986,2.3699978010976004e-43,0.05110027229680989,0.08371345646312656,Insignificante,1.6589984607683204e-42,Sí
num_medications,15.0,16.0,15.858325523273978,16.775383935476743,3.6127419334028665e-34,0.03607380702588341,0.0784962495822139,Insignificante,2.16764516004172e-33,Sí
number_emergency,0.0,0.0,0.1777853511686689,0.3618384708871948,5.42985837776277e-75,0.06052815483187994,0.06444667284631023,Insignificante,4.886872539986492e-74,Sí
num_lab_procedures,44.0,45.0,42.68234358581125,44.28847641144625,1.522824802110437e-13,0.026041616219850863,0.04760412738632991,Insignificante,6.091299208441748e-13,Sí
number_outpatient,0.0,0.0,0.3586095254323933,0.44138769196773836,7.363606982232011e-23,0.021076842547105387,0.041061956773114305,Insignificante,3.6818034911160056e-22,Sí
age_ord,6.0,6.0,6.061514867512993,6.155452436194896,1.3266318766392153e-09,0.018679777178246294,0.03834330524184559,Insignificante,3.979895629917646e-09,Sí
num_procedures,1.0,1.0,1.3466814347789042,1.2706883217324052,0.029450330307432573,-0.014161724337668527,-0.013258365110055848,Insignificante,0.058900660614865145,No
n_farmacos_activos,1.0,1.0,1.1874982249865098,1.1890398850955695,0.2689839853696042,0.0005307893618446125,0.006678501690211336,Insignificante,0.2689839853696042,No
