modelo,versión,complejidad,ajuste_s,memoria_pico_mb,auc_pr,inferencia_s
Logística,estándar: SAGA,"O(s·nnz), s grande",98.0232,182.5493,0.23,0.4431
Logística,optimizado: liblinear,"O(s·nnz), s pequeño",53.5424,182.5465,0.23,0.3962
Árbol,estándar: matriz dispersa,O(p·n·log n),63.2181,182.5465,0.1797,0.3802
Árbol,optimizado: matriz densa,O(p·n·log n),59.2517,200.9137,0.1797,0.5475
Random Forest (100 árboles),estándar: matriz dispersa,O(T·m·n·log n),81.5788,182.5463,0.2483,0.5897
Random Forest (100 árboles),optimizado: matriz densa,O(T·m·n·log n),69.5426,200.9111,0.2483,0.6216
k-NN (k = 51),estándar: matriz dispersa,inferencia O(n·p),50.7996,182.5465,0.211,60.9127
k-NN (k = 51),optimizado: matriz densa,inferencia O(n·p),45.331,200.9158,0.2111,8.8118
XGBoost,"estándar: exacto, sin parada",O(T·d·nnz·log n),54.2,182.5454,0.2367,0.502
XGBoost,"intermedio: hist, sin parada",O(T·d·nnz),47.9551,182.5463,0.237,0.4823
XGBoost,optimizado: hist con parada temprana,"O(T*·d·nnz), T* ≤ T",48.4635,182.5459,0.2462,0.3939
"SVM (submuestra 5,000)",estándar: kernel RBF,O(n²·p) a O(n³),11.2757,14.5878,0.1939,23.6521
"SVM (submuestra 5,000)",optimizado: LinearSVC calibrado,O(s·nnz),4.2708,14.5734,0.2017,0.3779
