,variable_1,variable_2,V de Cramér
125,change,insulin,0.6378390604796986
179,diabetesMed,insulin,0.5808814581826168
114,change,diabetesMed,0.5055679067244966
57,admission_source_id,admission_type_id,0.4731660722618997
72,admission_source_id,max_glu_serum,0.35988244357400906
99,admission_type_id,max_glu_serum,0.3402026617384617
127,change,metformin,0.32869835257531776
181,diabetesMed,metformin,0.2709613821494937
92,admission_type_id,especialidad,0.2473226937647114
200,diag_1_grupo,especialidad,0.21140665534869854
122,change,glipizide,0.2094945147523565
197,diag_1_grupo,diag_2_grupo,0.208978250212668
65,admission_source_id,especialidad,0.2086370897089692
176,diabetesMed,glipizide,0.2054600347874981
130,change,pioglitazone,0.2011428667152554
133,change,rosiglitazone,0.19693969097206152
123,change,glyburide,0.19194391596916732
177,diabetesMed,glyburide,0.18678972339644456
225,diag_2_grupo,diag_3_grupo,0.1597311536515098
184,diabetesMed,pioglitazone,0.1530659185263512
198,diag_1_grupo,diag_3_grupo,0.14815996783725371
121,change,glimepiride,0.14384631415475202
187,diabetesMed,rosiglitazone,0.14197188723469853
88,admission_type_id,diag_1_grupo,0.13628168284794784
175,diabetesMed,glimepiride,0.12623919726759475
91,admission_type_id,discharge_disposition_id,0.12362488963142129
61,admission_source_id,diag_1_grupo,0.11929306434747916
4,A1Cresult,change,0.11496906548846589
424,glyburide,metformin,0.10849417282952412
115,change,diag_1_grupo,0.10831930690072897
